Depth      CNPOR        DPOR         GR         RHOB        RHOC        RILD        RILM        RLL3       RxoRt         SP         SSD         DCAL        ABHV         DT         ITT        MEL15       MEL20       MELCAL       SPOR        TBHV    
    13.0000     -7.8250     57.4615    167.0239      1.7274     -0.7185     41.0249 100000.0000   1723.3781   -146.1000     28.2704    460.8792   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    13.5000     -7.9682     58.2071    166.7148      1.7147     -0.7355     38.2189 100000.0000   1728.5262   -148.9858     23.3712    450.0049   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    14.0000     -7.9699     58.6299    167.5574      1.7074     -0.7402     35.2122 100000.0000   1726.6537   -152.1461     20.1451    447.8502   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    14.5000     -7.8526     58.9173    173.6158      1.7025     -0.7423     32.2449 100000.0000   1718.6913   -155.4063     17.8297    447.2899   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    15.0000     -7.8704     59.3277    179.0349      1.6955     -0.7520     29.4517 100000.0000   1719.5818   -158.9682     15.5035    441.1790   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    15.5000     -8.0206     59.9317    180.3291      1.6852     -0.7721     28.8759 100000.0000   1718.3618   -159.7121     13.6882    427.9316   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    16.0000     -8.1275     60.7261    184.1894      1.6716     -0.8018     29.8908 100000.0000   1634.3678   -156.4031     13.9237    408.7289   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    16.5000     -8.2638     61.5518    186.6308      1.6575     -0.8352     31.7557 100000.0000    870.0775   -129.3962     17.2351    387.9617   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    17.0000     -8.3682     61.8458    181.2321      1.6524     -0.8549     37.8767 100000.0000    454.8501    -97.1547     23.2176    375.6379   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    17.5000     -8.4075     61.1935    176.9502      1.6636     -0.8461     50.1502 100000.0000    639.4268    -99.4966     30.6673    379.4113   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    18.0000     -8.3541     59.8945    182.5624      1.6858     -0.8169     79.2748 100000.0000   1670.2537   -119.1282     38.6574    395.2224   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    18.5000     -8.2755     58.3007    181.0000      1.7131     -0.7846    128.4561 100000.0000   1741.6364   -101.8982     46.7277    412.8951   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    19.0000     -8.1602     56.6280    153.1460      1.7417     -0.7591    747.0529 100000.0000   1743.9023    -33.1354     54.1685    425.9647   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    19.5000     -8.0071     55.5251    107.5785      1.7605     -0.7450 100000.0000 100000.0000   1726.4755    158.6556     59.7600    432.6857   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    20.0000     -7.9854     55.6797     69.6465      1.7579     -0.7441 100000.0000 100000.0000   1726.0499    158.6652     63.3064    433.9752   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    20.5000     -7.9752     56.7950     52.0550      1.7388     -0.7523 100000.0000 100000.0000   1726.0227    158.6658     66.7584    431.7125   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    21.0000     -7.8605     57.9316     44.2999      1.7194     -0.7643 100000.0000 100000.0000   1726.0283    158.6657     72.5000    426.6778   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    21.5000     -7.9357     58.6724     42.6674      1.7067     -0.7768 100000.0000 100000.0000   1719.9183    158.8043     81.0114    419.9461   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    22.0000     -8.5095     59.1024     44.8832      1.6993     -0.7847 100000.0000 100000.0000   1739.6208    158.3591     90.4748    415.6075   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    22.5000     -8.7781     59.1204     48.4970      1.6990     -0.7811 100000.0000 100000.0000   1601.7731    161.5859     98.3739    418.3472   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
